* Measurement data measured by REW V5.31.2
* Source: EXCL: Analogue 1 + 2 (Focusrite USB Audio), LINE_IN (Master Volume), L, volume: 1.000
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 5:55:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sub raw onax
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.141602	34.617	-44.8775
20.507812	35.120	-4.8438
20.874023	27.116	9.2535
21.240234	34.194	-170.4630
21.606445	41.947	-172.0853
21.972656	44.083	179.1194
22.338867	43.676	159.4320
22.705078	42.809	128.0983
23.071289	42.181	97.4429
23.437500	39.781	68.5457
23.803711	36.547	21.5214
24.169922	37.625	-8.6155
24.536133	40.237	19.8104
24.902344	46.785	47.9549
25.268555	51.578	53.5320
25.634766	53.874	50.1366
26.000977	54.305	41.3002
26.367188	53.433	28.5138
26.733398	51.885	17.4106
27.099609	50.113	20.4587
27.465820	50.238	44.3365
27.832031	53.190	61.7722
28.198242	55.642	63.3474
28.564453	56.883	56.2472
28.930664	57.492	44.7852
29.296875	58.049	33.5139
29.663086	58.741	26.6117
30.029297	59.575	24.5270
30.395508	60.517	24.3925
30.761719	61.465	23.1483
31.127930	62.343	19.6135
31.494141	63.108	14.3959
31.860352	63.765	8.8638
32.226562	64.347	4.1565
32.592773	64.910	0.6562
32.958984	65.514	-2.0474
33.325195	66.131	-4.8048
33.691406	66.741	-8.3617
34.057617	67.364	-12.9728
34.423828	68.026	-18.2842
34.790039	68.708	-23.5726
35.156250	69.357	-28.2568
35.522461	69.939	-32.2222
35.888672	70.440	-35.7953
36.254883	70.881	-39.4905
36.621094	71.290	-43.6665
36.987305	71.737	-48.3317
37.353516	72.222	-53.2168
37.719727	72.694	-58.0138
38.085938	73.100	-62.5859
38.452148	73.417	-66.9520
38.818359	73.656	-71.1682
39.184570	73.850	-75.2709
39.550781	74.027	-79.2705
39.916992	74.201	-83.1882
40.283203	74.370	-87.0693
40.649414	74.527	-90.9246
41.015625	74.658	-94.7013
41.381836	74.754	-98.3047
41.748047	74.817	-101.6509
42.114258	74.866	-104.7467
42.480469	74.930	-107.6934
42.846680	75.034	-110.6217
43.212891	75.180	-113.6131
43.579102	75.334	-116.6396
43.945312	75.453	-119.5913
44.311523	75.504	-122.3506
44.677734	75.488	-124.8389
45.043945	75.438	-127.0541
45.410156	75.372	-129.0663
45.776367	75.343	-130.9718
46.142578	75.351	-132.8462
46.508789	75.388	-134.7063
46.875000	75.430	-136.5192
47.241211	75.458	-138.2515
47.607422	75.482	-139.8963
47.973633	75.511	-141.4851
48.339844	75.542	-143.0682
48.706055	75.562	-144.6686
49.072266	75.563	-146.2616
49.438477	75.555	-147.7725
49.804688	75.564	-149.1016
50.170898	75.613	-150.1949
50.537109	75.699	-151.0975
50.903320	75.790	-151.9601
51.269531	75.848	-152.9796
51.635742	75.848	-154.2905
52.001953	75.803	-155.8806
52.368164	75.747	-157.5624
52.734375	75.720	-159.0378
53.100586	75.737	-160.0723
53.466797	75.791	-160.6406
53.833008	75.863	-160.9321
54.199219	75.937	-161.2269
54.565430	76.014	-161.7344
54.931641	76.111	-162.5101
55.297852	76.213	-163.4791
55.664062	76.313	-164.5153
56.030273	76.402	-165.5171
56.396484	76.453	-166.4255
56.762695	76.490	-167.1997
57.128906	76.518	-167.8198
57.495117	76.544	-168.3088
57.861328	76.570	-168.7479
