* Measurement data measured by REW V5.31.2
* Source: EXCL: Analogue 1 + 2 (Focusrite USB Audio), LINE_IN (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 19, 2025 4:46:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: sublevel
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.141602	79.992	54.8014
20.287556	79.987	76.1977
20.434568	80.272	95.2931
20.582645	80.657	110.6242
20.731796	80.932	124.2972
20.882027	81.111	136.4507
21.033346	81.151	147.8085
21.185763	81.099	158.9348
21.339284	81.003	168.7581
21.493917	80.822	178.1838
21.649671	80.594	-173.7228
21.806553	80.259	-166.9504
21.964572	79.842	-161.2673
22.123737	79.354	-157.1866
22.284054	78.808	-154.4339
22.445534	78.321	-152.8735
22.608183	77.925	-152.8341
22.772012	77.728	-153.3169
22.937027	77.767	-154.4540
23.103238	77.976	-155.2154
23.270654	78.315	-155.4180
23.439282	78.642	-154.7839
23.609133	78.868	-153.0898
23.780215	78.941	-150.3442
23.952536	78.793	-146.0807
24.126106	78.470	-140.0652
24.300934	78.041	-131.7576
24.477028	77.667	-120.8206
24.654399	77.570	-108.7925
24.833055	77.811	-96.7264
25.013005	78.277	-87.9125
25.194260	78.766	-82.0506
25.376828	79.075	-79.7370
25.560719	79.137	-80.2926
25.745942	78.901	-83.1042
25.932508	78.389	-88.5437
26.120426	77.646	-95.3145
26.309705	76.719	-104.1487
26.500356	75.685	-112.7125
26.692388	74.553	-121.0157
26.885812	73.385	-125.8297
27.080638	72.254	-126.1661
27.276876	71.588	-119.6182
27.474535	71.863	-109.0870
27.673627	73.142	-100.5048
27.874161	74.773	-97.3184
28.076149	76.356	-98.8016
28.279600	77.642	-102.8252
28.484526	78.645	-108.7154
28.690937	79.320	-114.9010
28.898843	79.711	-121.4744
29.108256	79.803	-127.3515
29.319186	79.639	-132.5569
29.531645	79.230	-136.3770
29.745644	78.711	-138.5503
29.961193	78.199	-138.5088
30.178304	77.992	-136.8798
30.396989	78.258	-134.5561
30.617258	79.061	-133.4561
30.839123	80.212	-134.4104
31.062596	81.529	-137.1189
31.287688	82.807	-140.8979
31.514412	83.961	-144.9302
31.742778	84.920	-148.8890
31.972800	85.648	-152.2244
32.204488	86.147	-155.0093
32.437855	86.424	-156.9086
32.672913	86.523	-157.9416
32.909674	86.487	-158.0194
33.148151	86.401	-157.1894
33.388356	86.335	-155.6927
33.630302	86.354	-153.7829
33.874001	86.492	-152.0987
